,station_num,year,month,day,temp_ft,dewpt_ft,visib_mi,wind_knt,maxwind_knt,GUST,fog,rain,snow,hail,thunder,tornado,max_temp_frnht,min_temp_frnht,precip_in,precip_flag,slp_mb,STP,SNDP,WBAN
146,720276,2005,5,27,80.8,66.2,8.6,7.1,15.0,20.0,0,0,0,0,0,0,0.0,0.0,0.0,D,,,,
147,720276,2005,5,28,82.1,66.7,10.0,8.3,0.0,21.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
149,720276,2005,5,30,80.6,67.6,10.0,6.5,0.0,25.1,1,0,0,1,0,0,0.0,66.2,0.0,H,,,,
150,720276,2005,5,31,83.2,0.0,8.3,4.6,20.0,0.0,0,0,0,0,0,0,0.0,73.4,0.0,D,,,,
151,720276,2005,6,1,0.0,0.0,0.0,0.0,22.0,34.0,1,0,0,1,0,0,0.0,0.0,0.0,D,,,,
152,720276,2005,6,2,83.1,70.5,8.5,8.2,0.0,21.0,0,0,0,0,0,0,0.0,71.6,0.0,D,,,,
153,720276,2005,6,3,0.0,72.1,0.0,13.4,22.0,32.1,0,0,0,0,0,0,0.0,78.8,0.0,I,,,,
154,720276,2005,6,4,84.7,71.3,0.0,14.7,22.0,0.0,0,0,0,0,0,0,0.0,77.0,0.0,I,,,,
155,720276,2005,6,5,84.0,70.5,10.0,10.8,20.0,0.0,1,0,0,0,0,0,0.0,77.0,0.0,D,,,,
156,720276,2005,6,6,84.0,70.6,10.0,0.0,0.0,21.0,0,0,0,0,0,0,0.0,77.0,0.0,I,,,,
157,720276,2005,6,7,85.1,71.5,0.0,10.7,18.1,22.0,0,0,0,0,0,0,0.0,78.8,0.0,I,,,,
158,720276,2005,6,8,85.7,71.5,10.0,12.1,20.0,25.1,0,0,0,0,0,0,0.0,78.8,0.0,I,,,,
160,720276,2005,6,10,83.8,0.0,10.0,13.0,0.0,27.0,0,0,0,0,0,0,0.0,75.2,0.0,I,,,,
161,720276,2005,6,11,83.4,0.0,10.0,10.6,20.0,25.1,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
162,720276,2005,6,12,0.0,70.4,10.0,10.8,18.1,0.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
163,720276,2005,6,13,85.4,71.3,10.0,10.4,0.0,0.0,0,0,0,0,0,0,0.0,78.8,0.0,I,,,,
164,720276,2005,6,14,85.1,71.1,10.0,0.0,18.1,0.0,0,0,0,0,0,0,0.0,77.0,0.0,I,,,,
165,720276,2005,6,15,84.7,70.7,0.0,6.5,0.0,0.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
166,720276,2005,6,16,83.8,68.8,0.0,6.3,0.0,21.0,0,0,0,0,0,0,0.0,71.6,0.0,D,,,,
167,720276,2005,6,17,85.5,68.6,10.0,0.0,15.0,0.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
168,720276,2005,6,18,85.0,0.0,10.0,8.5,0.0,21.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
170,720276,2005,6,20,0.0,66.6,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0.0,71.6,0.0,D,,,,
171,720276,2005,6,21,82.3,64.8,0.0,6.4,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,D,,,,
172,720276,2005,6,22,0.0,62.3,10.0,6.7,0.0,22.0,0,0,0,0,0,0,0.0,0.0,0.0,I,,,,
173,720276,2005,6,23,81.7,65.2,10.0,5.8,0.0,21.0,0,0,0,0,0,0,0.0,0.0,0.0,I,,,,
174,720276,2005,6,24,82.5,66.3,0.0,5.2,0.0,0.0,0,0,0,0,0,0,0.0,71.6,0.0,I,,,,
175,720276,2005,6,25,82.0,67.3,10.0,5.7,0.0,0.0,0,0,0,0,0,0,0.0,71.6,0.0,I,,,,
176,720276,2005,6,26,81.6,68.6,10.0,6.3,18.1,22.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
177,720276,2005,6,27,81.3,0.0,0.0,6.3,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,D,,,,
178,720276,2005,6,28,82.3,66.8,0.0,5.7,18.1,0.0,0,0,0,0,0,0,0.0,71.6,0.0,I,,,,
180,720276,2005,6,30,85.8,0.0,10.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,75.2,0.0,I,,,,
181,720276,2005,7,1,86.1,70.1,0.0,0.0,18.1,22.0,0,0,0,0,0,0,0.0,77.0,0.0,D,,,,
182,720276,2005,7,2,0.0,0.0,10.0,0.0,0.0,22.0,0,0,0,0,0,0,0.4,75.2,0.0,I,,,,
183,720276,2005,7,3,86.6,0.0,10.0,10.2,20.0,25.1,0,0,0,0,0,0,0.4,73.4,0.0,I,,,,
184,720276,2005,7,4,87.0,70.7,10.0,12.1,20.0,27.0,0,0,0,0,0,0,0.0,77.0,0.0,I,,,,
185,720276,2005,7,5,86.0,0.0,0.0,0.0,18.1,0.0,0,0,0,0,0,0,0.0,73.4,0.0,I,,,,
186,720276,2005,7,6,85.6,68.3,0.0,6.5,0.0,0.0,0,0,0,0,0,0,0.4,73.4,0.0,I,,,,
187,720276,2005,7,7,87.4,68.2,10.0,0.0,0.0,22.0,0,0,0,0,0,0,0.4,73.4,0.0,I,,,,
