USAF,WBAN,STATION NAME,CTRY,ST,RGN,CALL,LAT,LON,ELEV(M),BEGIN,END
702070,26627,UNALAKLEET AIRPORT,US,AK,W,PAUN,63.883,-160.8,5.5,19430601,20220428
702070,99999,UNALAKLEET,US,AK,W,PAUN,63.883,-160.8,6.0,20000101,20031231
702075,26644,ANVIK AIRPORT,US,AK,W,PANV,62.65,-160.183,26.8,20060101,20220428
702075,99999,ANVIK,US,AK,W,PANV,62.65,-160.183,94.0,19950210,20051231
702084,26650,EMMONAK,US,AK,W,PAEM,62.785,-164.491,4.3,20060101,20220427
702084,99999,EMMONAK,US,AK,W,PAEM,62.783,-164.483,4.0,19440412,20051231
702091,99999,MOUNTAIN VILLAGE,US,AK,W,,62.083,-163.717,50.0,19441018,19450927
702120,26633,CAPE ROMANZOFF AFS,US,AK,W,PACZ,61.783,-166.033,146.0,19530401,19991231
702120,26646,CAPE ROMANZOF LRRS ARPT,US,AK,W,PACZ,61.783,-166.033,146.0,20060101,20220428
702120,99999,CAPE ROMANZOFF AFS,US,AK,W,PACZ,61.783,-166.033,146.0,20000101,20051231
702185,26622,MEKORYUK AIRPORT,US,AK,W,PAMY,60.383,-166.2,13.7,20060105,20211021
702185,99999,MEKORYUK,US,AK,W,PAMY,60.367,-166.267,15.0,19831104,20051129
702186,26651,HOOPER BAY AIRPORT,US,AK,W,PAHP,61.524,-166.147,5.5,20060101,20220428
702186,99999,HOOPER BAY,US,AK,W,PAHP,61.517,-166.133,5.0,19841105,20051231
702190,26615,BETHEL AIRPORT,US,AK,W,PABE,60.785,-161.829,32.6,19450101,20220428
702195,99999,NAPAKIAK,US,AK,W,PANA,60.683,-161.983,5.2,19940830,20220427
702220,26501,GALENA AIRPORT,US,AK,W,PAGA,64.737,-156.934,46.6,20060101,20220428
702220,99999,GALENA A.,US,AK,W,PAGA,64.733,-156.933,49.0,19420917,20051231
702223,26602,KOYUK AIRPORT,US,AK,W,PAKK,64.935,-161.155,33.5,20060101,20220428
702223,99999,KOYUK AIRPORT,US,AK,W,PAKK,64.933,-161.167,37.0,19760503,20051231
702224,99999,EAGLE AIRPORT,US,AK,W,,64.783,-141.15,268.0,19810619,19950512
702225,99999,HUSLIA,US,AK,W,PAHS,65.7,-156.383,55.0,19940103,20050817
702310,26510,MCGRATH AIRPORT,US,AK,W,PAMC,62.957,-155.61,101.0,19730101,20220428
702312,26519,FAREWELL LAKE,US,AK,W,PAFK,62.54,-153.617,321.0,19970402,19991231
702312,26555,FAREWELL LAKE SEAPLANE BASE,US,AK,W,PAFK,62.543,-153.623,3207.7,20060101,20140419
702312,99999,FAREWELL LAKE,US,AK,W,PAFK,62.54,-153.617,321.0,20000101,20051231
702315,26536,TATALINA LRRS AIRPORT,US,AK,W,PATL,62.894,-155.976,293.8,20060101,20220427
702315,99999,TATALINA LRRS,US,AK,W,PATL,62.883,-155.967,294.0,19520401,20051231
702320,26516,ANIAK AIRPORT,US,AK,W,PANI,61.582,-159.543,25.9,19730101,20220428
702320,99999,ANIAK,US,AK,W,PANI,61.583,-159.533,26.0,20000101,20031231
702325,26443,WASILLA AIRPORT,US,AK,W,PAWS,61.572,-149.541,107.9,20040702,20220428
702325,99999,WASILLA,US,AK,W,PAWS,61.572,-149.54,108.0,19980226,20041231
702350,26534,SPARREVOHN LRRS AIRPORT,US,AK,W,PASV,61.1,-155.583,484.0,20060101,20220427
702350,99999,SPARREVOHN AFS,US,AK,W,PASV,61.1,-155.567,484.0,19510711,20051231
702460,26512,MINCHUMINA,US,AK,W,PAMH,63.886,-152.302,206.7,19730101,20220428
702460,99999,MINCHUMINA,US,AK,W,PAMH,63.9,-152.267,214.0,20000101,20041230
702483,99999,FAREWELL LAKE,US,AK,W,PAFW,62.533,-153.617,323.0,19850130,19960425
702490,26526,PUNTILLA LAKE,US,AK,W,PAPT,62.091,-152.735,566.3,20060101,20220428
702490,99999,PUNTILLA,US,AK,W,PAPT,62.1,-152.75,560.0,19730101,20051231
702495,26547,HAYES RIVER AIRPORT,US,AK,W,PAHZ,61.983,-152.083,305.1,20060101,20110127
702495,99999,HAYES RIVER AIRPORT,US,AK,W,PAHZ,61.98,-152.08,305.0,19730101,20051231
702510,26528,TALKEETNA AIRPORT,US,AK,W,PATK,62.32,-150.097,106.8,19730101,20220428
702520,99999,TALKEETNA  AK,US,AK,W,,62.3,-150.417,151.0,20050213,20050213
702550,26514,SKWENTNA AIRPORT,US,AK,W,PASW,61.977,-151.217,45.7,19730101,20161001
702550,99999,SKWENTNA,US,AK,W,PASW,61.967,-151.183,45.0,20000101,20041231
702590,26523,KENAI MUNICIPAL AIRPORT,US,AK,W,PAEN,60.579,-151.242,30.2,19730101,20220428
702595,26559,SOLDOTNA AIRPORT,US,AK,W,PASX,60.476,-151.034,34.4,20060101,20220428
702595,99999,SOLDOTNA,US,AK,W,PASX,60.467,-151.033,34.0,19830502,20051231
702600,26435,NENANA MUNICIPAL AIRPORT,US,AK,W,PANN,64.547,-149.087,110.1,19430706,20220428
702600,99999,NENANA/MUN.,US,AK,W,PANN,64.55,-149.083,110.0,20000101,20031231
702605,99999,CLEAR,US,AK,W,PACL,64.301,-149.12,168.2,19471010,19471130
702606,96401,CHULITNA,US,AK,W,PAEC,62.826,-149.907,426.7,20060101,20220428
702606,99999,CHULITNA AIRPORT,US,AK,W,PAEC,62.883,-149.833,381.0,19781130,20051231
702607,25378,HOONAH SEAPLANE BASE,US,AK,W,PAOH,58.096,-135.409,0.0,20060101,20220408
702607,99999,HOONAH SEAPLANE BASE,US,AK,W,PAOH,58.12,-135.417,6.0,19781124,20051231
702610,26411,FAIRBANKS INTERNATIONAL,US,AK,W,PAFA,64.803,-147.876,131.1,19460101,20220428
702615,26498,WAINWRIGHT AAF AIRPORT,US,AK,W,PAFB,64.838,-147.614,138.4,20060103,20220428
702615,99999,WAINWRIGHT AAF,US,AK,W,PAFB,64.833,-147.617,140.0,19410206,20051230
702616,99999,OLD MAN,US,AK,W,,66.45,-150.583,389.0,19750108,19761123
702625,104,NIKOLAI AIRPORT,US,AK,W,PAFS,63.017,-154.367,126.2,20061024,20220428
702625,99999,NIKOLAI,US,AK,W,PAFS,63.02,-154.36,126.0,20080101,20081231
702626,99999,PILOT POINT,US,AK,W,PAPN,57.58,-157.58,17.0,20061024,20220426
702627,26561,RUBY AIRPORT,US,AK,W,PARY,64.727,-155.47,199.0,20061001,20220428
702628,105,MARSHALL DON HUNTER SR AIRPOR,US,AK,W,PADM,61.867,-162.033,31.1,20061024,20220428
702628,99999,MARSHALL DON HUNTER SR,US,AK,W,PADM,61.864,-162.026,31.4,20080101,20081231
702629,99999,CAPE DECISION CG HELIPORT,US,AK,W,,56.0,-134.133,10.0,20080915,20110608
702640,26414,SUMMIT,US,AK,W,PAST,63.331,-149.127,734.3,19730101,19840107
702645,46403,MCKINLEY NATIONAL PARK AIRPOR,US,AK,W,PAIN,63.733,-148.917,524.3,20060101,20220428
702645,99999,MCKINLEY NATIONAL PK,US,AK,W,PAIN,63.733,-148.917,524.0,19751202,20051231
702646,99999,MT MCKINLEY NATL PK,US,AK,W,,63.65,-148.8,625.0,19760116,19760427
702647,26499,HEALY RIVER AIRPORT,US,AK,W,PAHV,63.866,-148.969,3945.3,20060101,20120608
702647,99999,HEALY RIVER AIRPORT,US,AK,W,PAHV,63.87,-148.97,394.0,19761221,20051231
702648,46406,CANTWELL AIRPORT,US,AK,W,PATW,63.391,-148.956,667.5,20060102,20110827
702648,99999,CANTWELL CANTWELL,US,AK,W,PATW,63.4,-148.95,668.0,19831103,20051205
702650,26407,EIELSON AFB AIRPORT,US,AK,W,PAEI,64.683,-147.083,166.7,20060102,20220428
702650,99999,FAIRBANKS/EIELSON A,US,AK,W,PAEI,64.65,-147.067,167.0,19441111,20051231
702653,99999,EIELSON AFB       &,US,AK,W,,64.65,-147.067,167.0,19750814,19750814
702660,99999,FORT GREELY  AK,US,AK,W,,63.967,-145.7,398.0,19440626,19900628
702670,26415,ALLEN ARMY AIRFIELD,US,AK,W,PABI,63.993,-145.721,388.1,19451015,20220428
